Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L POR X [px]	L POR Y [px]	L Event Info
32557527291	SMP	1	12.81	12.81	776.11	428.84	-
32557531250	SMP	1	12.70	12.70	772.41	423.52	-
32557535095	SMP	1	12.68	12.68	770.13	418.79	-
32557539259	SMP	1	12.74	12.74	770.37	415.28	Fixation
32557543223	SMP	1	12.75	12.75	767.81	414.07	Fixation
32557547401	SMP	1	12.67	12.67	767.01	410.93	Fixation
32557551234	SMP	1	12.81	12.81	768.40	411.97	Fixation
32557555150	SMP	1	12.81	12.81	768.86	409.37	Fixation
32557559172	SMP	1	12.80	12.80	767.02	407.76	Fixation
32557564275	SMP	1	12.70	12.70	764.89	404.48	Fixation
32557567582	SMP	1	12.77	12.77	765.82	404.54	Fixation
32557571411	SMP	1	12.74	12.74	765.28	402.51	Fixation
32557575506	SMP	1	12.91	12.91	766.02	401.20	Fixation
32557579264	SMP	1	12.94	12.94	765.45	399.61	Fixation
32557583092	SMP	1	12.85	12.85	764.62	396.86	Fixation
32557587225	SMP	1	12.94	12.94	764.59	395.54	Fixation
32557591219	SMP	1	13.00	13.00	767.82	398.19	Fixation
32557595251	SMP	1	13.01	13.01	766.93	397.60	Fixation
32557599120	SMP	1	12.93	12.93	766.65	396.96	Fixation
32557603237	SMP	1	12.96	12.96	767.07	397.42	Fixation
32557607237	SMP	1	12.95	12.95	771.15	400.68	Fixation
32557611239	SMP	1	12.93	12.93	771.26	400.39	Fixation
32557615098	SMP	1	12.99	12.99	774.99	401.62	Fixation
32557619274	SMP	1	12.83	12.83	768.20	400.75	Fixation
32557623225	SMP	1	13.34	13.34	772.66	403.24	Fixation
32557627309	SMP	1	12.96	12.96	773.20	405.69	Fixation
32557631095	SMP	1	12.94	12.94	772.38	405.04	Fixation
32557635219	SMP	1	12.97	12.97	775.16	406.07	Fixation
32557639246	SMP	1	12.97	12.97	773.77	406.36	Saccade
32557643216	SMP	1	12.86	12.86	774.76	406.01	Saccade
32557647077	SMP	1	13.02	13.02	774.30	405.61	Saccade
32557651219	SMP	1	13.02	13.02	935.33	409.67	Saccade
32557655211	SMP	1	12.97	12.97	939.11	418.05	Saccade
32557659227	SMP	1	12.95	12.95	933.87	418.47	Saccade
32557663112	SMP	1	12.95	12.95	929.87	423.65	Saccade
32557667216	SMP	1	12.97	12.97	772.72	410.49	Saccade
32557671202	SMP	1	12.97	12.97	934.99	424.95	Saccade
32557675237	SMP	1	12.96	12.96	935.45	432.17	Saccade
32557679084	SMP	1	12.94	12.94	934.11	433.25	Saccade
32557683207	SMP	1	13.12	13.12	943.69	438.60	Saccade
32557687246	SMP	1	12.96	12.96	937.66	439.72	Saccade
32557691215	SMP	1	13.00	13.00	942.08	440.53	Saccade
32557695217	SMP	1	12.98	12.98	943.04	442.12	-
32557699211	SMP	1	12.94	12.94	943.37	441.76	-
32557703221	SMP	1	12.98	12.98	770.50	433.00	-
32557707239	SMP	1	12.97	12.97	946.52	439.39	-
32557711224	SMP	1	12.97	12.97	774.81	437.18	-
32557715209	SMP	1	13.01	13.01	953.10	441.10	-
32557719228	SMP	1	13.09	13.09	772.07	432.18	-
32557723210	SMP	1	13.03	13.03	771.30	439.17	-
32557727072	SMP	1	12.99	12.99	767.49	461.76	-
32557731223	SMP	1	12.93	12.93	764.85	505.49	-
32557735217	SMP	1	12.84	12.84	758.44	528.88	-
32557739201	SMP	1	12.84	12.84	718.50	526.24	-
32557743075	SMP	1	12.77	12.77	685.48	515.98	-
32557747203	SMP	1	12.54	12.54	664.48	503.17	-
32557751202	SMP	1	12.73	12.73	681.20	509.18	Fixation
32557755211	SMP	1	12.80	12.80	690.57	516.48	Fixation
32557759070	SMP	1	12.87	12.87	688.04	514.23	Fixation
32557763199	SMP	1	12.96	12.96	676.35	510.00	Fixation
32557767200	SMP	1	12.94	12.94	675.01	512.12	Fixation
32557771072	SMP	1	12.92	12.92	672.26	509.69	Fixation
32557775136	SMP	1	12.91	12.91	673.71	512.32	Fixation
32557779228	SMP	1	12.93	12.93	677.51	510.95	Fixation
32557783089	SMP	1	12.87	12.87	677.11	508.57	Fixation
32557787099	SMP	1	12.94	12.94	679.78	510.40	Fixation
32557791072	SMP	1	13.01	13.01	679.89	509.76	Fixation
32557795070	SMP	1	12.81	12.81	678.52	510.13	Fixation
32557799094	SMP	1	12.86	12.86	676.42	507.82	Fixation
32557803102	SMP	1	12.89	12.89	676.66	509.12	Fixation
32557807074	SMP	1	12.74	12.74	676.53	508.79	Fixation
32557811119	SMP	1	12.81	12.81	677.55	507.46	Fixation
32557815088	SMP	1	12.81	12.81	677.97	508.05	Fixation
32557819134	SMP	1	12.69	12.69	677.55	507.20	Fixation
32557823086	SMP	1	12.72	12.72	677.02	505.21	Fixation
32557827072	SMP	1	12.68	12.68	675.86	505.97	Fixation
32557831173	SMP	1	12.63	12.63	674.04	504.65	Fixation
32557835093	SMP	1	12.54	12.54	672.48	506.32	Fixation
32557839082	SMP	1	12.57	12.57	671.53	505.42	Fixation
32557843093	SMP	1	12.64	12.64	671.97	505.91	Fixation
32557847094	SMP	1	12.49	12.49	669.97	504.85	Fixation
32557851097	SMP	1	12.41	12.41	669.47	503.61	Fixation
32557855086	SMP	1	12.48	12.48	668.45	502.83	Fixation
32557859075	SMP	1	12.46	12.46	668.63	502.35	Fixation
32557863103	SMP	1	12.42	12.42	669.35	501.68	Fixation
32557867081	SMP	1	12.46	12.46	669.62	502.37	Fixation
32557871079	SMP	1	12.41	12.41	670.25	501.37	Fixation
32557875116	SMP	1	12.31	12.31	671.27	501.09	Fixation
32557879089	SMP	1	12.35	12.35	672.35	499.81	Fixation
32557883099	SMP	1	12.36	12.36	674.10	500.18	Fixation
32557887087	SMP	1	12.31	12.31	673.33	499.49	Fixation
32557891201	SMP	1	12.32	12.32	672.35	498.79	Fixation
32557895089	SMP	1	12.27	12.27	674.36	499.78	Fixation
32557899076	SMP	1	12.22	12.22	674.93	500.25	Fixation
32557903062	SMP	1	12.15	12.15	674.76	500.16	Fixation
32557907094	SMP	1	12.31	12.31	674.59	500.12	Fixation
32557911107	SMP	1	12.12	12.12	674.48	499.23	Fixation
32557915078	SMP	1	12.12	12.12	673.69	498.60	Fixation
32557919108	SMP	1	12.23	12.23	673.79	498.96	Fixation
32557923079	SMP	1	12.25	12.25	673.42	500.85	Fixation
32557927086	SMP	1	12.23	12.23	673.84	501.98	Fixation
32557931076	SMP	1	12.21	12.21	674.65	504.90	Fixation
32557935068	SMP	1	12.22	12.22	675.95	508.08	Fixation
32557939078	SMP	1	12.16	12.16	675.81	509.63	Fixation
32557943090	SMP	1	12.24	12.24	677.39	510.87	Fixation
32557947100	SMP	1	12.27	12.27	677.28	517.46	Fixation
32557951151	SMP	1	12.16	12.16	678.50	516.26	Fixation
32557955187	SMP	1	12.13	12.13	679.45	519.05	Fixation
32557959089	SMP	1	12.08	12.08	679.93	520.51	Fixation
32557963072	SMP	1	12.02	12.02	680.55	521.44	Fixation
32557967061	SMP	1	12.07	12.07	681.45	522.19	Fixation
32557971094	SMP	1	12.01	12.01	680.18	521.75	Fixation
32557975074	SMP	1	12.01	12.01	680.50	522.05	Fixation
32557979092	SMP	1	12.01	12.01	681.61	522.88	Fixation
32557983068	SMP	1	12.07	12.07	682.44	522.70	Fixation
32557987086	SMP	1	12.06	12.06	681.55	522.94	Fixation
32557991097	SMP	1	12.02	12.02	682.33	522.69	Fixation
32557995077	SMP	1	12.07	12.07	681.74	522.95	Fixation
32557999059	SMP	1	11.97	11.97	681.04	524.11	Fixation
32558003078	SMP	1	12.02	12.02	681.55	524.37	Fixation
32558007066	SMP	1	11.81	11.81	681.28	524.42	Fixation
32558011093	SMP	1	12.10	12.10	681.38	525.96	Fixation
32558015079	SMP	1	12.15	12.15	681.92	527.26	Fixation
32558019127	SMP	1	11.87	11.87	682.66	528.10	Fixation
32558023095	SMP	1	12.06	12.06	682.49	529.08	Fixation
32558027073	SMP	1	12.12	12.12	682.11	529.18	Fixation
32558031058	SMP	1	12.07	12.07	682.99	529.06	Fixation
32558035079	SMP	1	11.97	11.97	682.22	528.90	Fixation
32558039091	SMP	1	12.02	12.02	683.17	528.97	Fixation
32558043093	SMP	1	12.02	12.02	683.69	527.53	Fixation
32558047071	SMP	1	11.88	11.88	684.56	526.49	Fixation
32558051075	SMP	1	11.91	11.91	685.51	525.37	Fixation
32558055100	SMP	1	11.95	11.95	685.38	522.96	Fixation
32558059105	SMP	1	12.00	12.00	685.80	521.76	Fixation
32558063064	SMP	1	11.82	11.82	685.15	519.47	Fixation
32558067059	SMP	1	12.03	12.03	685.11	517.70	Fixation
32558071062	SMP	1	12.13	12.13	686.37	518.40	Fixation
32558075070	SMP	1	12.10	12.10	686.17	516.95	Fixation
32558079168	SMP	1	12.09	12.09	687.64	516.12	Fixation
32558083104	SMP	1	12.08	12.08	687.08	516.68	Fixation
32558087118	SMP	1	12.13	12.13	689.01	517.18	Fixation
32558091083	SMP	1	12.14	12.14	688.81	517.52	Fixation
32558095065	SMP	1	12.07	12.07	688.27	518.43	Fixation
32558099059	SMP	1	12.05	12.05	689.57	519.97	Fixation
32558103065	SMP	1	12.04	12.04	689.89	520.19	Fixation
32558107077	SMP	1	12.08	12.08	690.92	520.34	Fixation
32558111146	SMP	1	12.03	12.03	690.91	520.34	Fixation
32558115076	SMP	1	12.09	12.09	689.84	520.88	Fixation
32558119069	SMP	1	12.12	12.12	690.58	521.68	Fixation
32558123070	SMP	1	12.14	12.14	690.34	523.54	Fixation
32558127056	SMP	1	12.13	12.13	692.26	523.42	Fixation
32558131083	SMP	1	12.18	12.18	691.88	524.11	Fixation
32558135091	SMP	1	12.08	12.08	690.72	524.16	Fixation
32558139062	SMP	1	12.11	12.11	691.01	522.97	Fixation
32558143082	SMP	1	12.08	12.08	690.49	521.19	Fixation
32558147172	SMP	1	12.09	12.09	689.77	520.26	Fixation
32558151120	SMP	1	12.07	12.07	687.83	520.66	Fixation
32558155086	SMP	1	12.12	12.12	687.00	521.03	Fixation
32558159061	SMP	1	12.06	12.06	687.08	520.03	Fixation
32558163058	SMP	1	12.02	12.02	684.80	517.82	Fixation
32558167062	SMP	1	11.94	11.94	683.76	517.48	Fixation
32558171076	SMP	1	11.92	11.92	683.67	518.19	Fixation
32558175067	SMP	1	11.96	11.96	682.24	517.34	Fixation
32558179093	SMP	1	11.81	11.81	681.60	517.86	Fixation
32558183071	SMP	1	12.03	12.03	681.93	519.11	Fixation
32558187082	SMP	1	12.01	12.01	681.13	520.84	Fixation
32558191060	SMP	1	11.91	11.91	680.97	521.31	Fixation
32558195059	SMP	1	11.94	11.94	681.57	520.42	Fixation
32558199078	SMP	1	12.02	12.02	682.14	520.88	Fixation
32558203158	SMP	1	12.01	12.01	683.91	521.48	Fixation
32558207068	SMP	1	12.11	12.11	688.39	522.82	Fixation
32558211105	SMP	1	12.03	12.03	689.26	522.32	Fixation
32558215069	SMP	1	12.27	12.27	691.24	522.37	Fixation
32558219108	SMP	1	12.07	12.07	692.78	522.22	Fixation
32558223068	SMP	1	11.86	11.86	692.31	521.98	Fixation
32558227061	SMP	1	12.01	12.01	691.24	520.89	Fixation
32558231054	SMP	1	12.02	12.02	694.54	519.94	Fixation
32558235064	SMP	1	12.01	12.01	698.09	520.54	Fixation
32558239058	SMP	1	11.93	11.93	695.71	521.01	Fixation
32558243101	SMP	1	12.01	12.01	696.19	520.83	Fixation
32558247080	SMP	1	11.98	11.98	697.47	521.73	Fixation
32558251111	SMP	1	11.97	11.97	696.25	521.72	Fixation
32558255123	SMP	1	11.91	11.91	694.69	521.29	Fixation
32558259062	SMP	1	11.96	11.96	694.33	521.37	Fixation
32558263055	SMP	1	12.10	12.10	693.43	521.27	Fixation
32558267085	SMP	1	12.01	12.01	693.95	521.39	Fixation
