Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L POR X [px]	L POR Y [px]	L Event Info
84042779051	SMP	1	16.38	16.38	1401.52	512.05	-
84042783007	SMP	1	16.37	16.37	1403.07	509.95	-
84042787015	SMP	1	16.51	16.51	1400.28	509.20	-
84042791001	SMP	1	16.45	16.45	1401.01	505.72	-
84042795022	SMP	1	16.37	16.37	1400.89	503.40	-
84042799010	SMP	1	16.43	16.43	1399.43	501.72	-
84042803015	SMP	1	16.37	16.37	1398.52	499.68	-
84042807630	SMP	1	16.33	16.33	1395.59	499.57	-
84042816142	SMP	1	16.64	16.64	1394.26	499.49	-
84042822170	SMP	1	16.66	16.66	1394.60	500.69	Saccade
84042831630	SMP	1	16.46	16.46	1384.78	500.66	Saccade
84042835302	SMP	1	16.70	16.70	1385.01	501.58	Saccade
84042839022	SMP	1	16.77	16.77	1376.91	503.88	Saccade
84042843038	SMP	1	16.59	16.59	1371.97	507.87	Saccade
84042847088	SMP	1	16.40	16.40	1381.94	509.60	Saccade
84042851020	SMP	1	16.49	16.49	1359.57	519.93	Saccade
84042855013	SMP	1	16.27	16.27	1294.44	541.02	Saccade
84042858970	SMP	1	16.12	16.12	1304.14	537.62	Saccade
84042863028	SMP	1	15.97	15.97	1245.30	541.40	Saccade
84042867040	SMP	1	15.62	15.62	1214.99	533.01	Saccade
84042871175	SMP	1	15.75	15.75	1184.60	532.36	Saccade
84042875003	SMP	1	15.00	15.00	1111.52	541.54	Saccade
84042878992	SMP	1	13.84	13.84	1093.31	515.34	Saccade
84042882993	SMP	1	13.06	13.06	1091.39	476.24	Saccade
84042887019	SMP	1	12.86	12.86	1021.24	502.99	Saccade
84042891072	SMP	1	12.25	12.25	1002.96	457.28	Saccade
84042895000	SMP	1	12.03	12.03	1004.13	472.33	Saccade
84042898998	SMP	1	10.74	10.74	1005.24	438.83	Saccade
84042903008	SMP	1	11.01	11.01	1019.15	470.22	Saccade
84042906987	SMP	1	10.93	10.93	1021.49	439.94	Saccade
84042910983	SMP	1	12.96	12.96	1014.10	500.00	Saccade
84042915002	SMP	1	11.30	11.30	1021.23	456.17	Saccade
84042918996	SMP	1	13.73	13.73	1005.37	516.85	Saccade
84042922984	SMP	1	10.59	10.59	1008.70	361.04	Saccade
84042927025	SMP	1	10.66	10.66	1005.00	343.56	Saccade
84042931002	SMP	1	10.58	10.58	995.36	328.44	Saccade
84042935021	SMP	1	10.23	10.23	996.41	323.47	Saccade
84042939004	SMP	1	10.25	10.25	999.60	343.19	Saccade
84042942988	SMP	1	9.81	9.81	970.50	298.21	Saccade
84042946987	SMP	1	9.90	9.90	970.60	302.99	Saccade
84042950982	SMP	1	11.14	11.14	986.70	434.77	Saccade
84042954999	SMP	1	10.62	10.62	980.51	330.57	Saccade
84042959092	SMP	1	10.87	10.87	974.20	330.97	Saccade
84042963030	SMP	1	13.13	13.13	977.42	524.81	Saccade
