Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L POR X [px]	L POR Y [px]	L Event Info
116794599078	SMP	1	14.08	14.08	219.01	672.68	Fixation
116794603049	SMP	1	14.07	14.07	222.26	673.13	Fixation
116794607046	SMP	1	14.09	14.09	216.04	674.26	Fixation
116794611041	SMP	1	14.08	14.08	212.64	674.57	Fixation
116794615026	SMP	1	13.93	13.93	212.17	676.10	Fixation
116794618946	SMP	1	14.17	14.17	203.32	678.83	Fixation
116794623070	SMP	1	14.19	14.19	209.37	678.63	Fixation
116794627062	SMP	1	14.05	14.05	205.16	679.31	Fixation
116794631058	SMP	1	14.25	14.25	202.77	681.86	Fixation
116794635086	SMP	1	14.07	14.07	202.28	683.36	Fixation
116794639017	SMP	1	14.31	14.31	203.62	684.33	Fixation
116794645132	SMP	1	14.13	14.13	203.55	686.40	Fixation
116794649574	SMP	1	14.30	14.30	205.62	687.57	Fixation
116794651846	SMP	1	14.30	14.30	212.39	687.46	Fixation
116794655034	SMP	1	14.15	14.15	212.63	688.46	Fixation
116794659032	SMP	1	14.04	14.04	224.61	687.32	Fixation
116794663039	SMP	1	14.06	14.06	229.25	685.91	Fixation
116794667056	SMP	1	14.23	14.23	216.88	685.37	Fixation
116794671054	SMP	1	14.14	14.14	223.00	685.19	Fixation
116794675051	SMP	1	14.29	14.29	219.75	685.01	Fixation
116794679115	SMP	1	14.28	14.28	221.76	685.32	Fixation
116794683036	SMP	1	14.17	14.17	218.09	686.90	Fixation
116794687045	SMP	1	14.11	14.11	214.98	687.29	Fixation
116794691286	SMP	1	13.96	13.96	206.65	689.13	Fixation
116794695063	SMP	1	14.05	14.05	206.67	691.05	Fixation
116794699043	SMP	1	14.17	14.17	207.21	690.89	Fixation
116794703051	SMP	1	14.14	14.14	199.72	694.79	Fixation
116794707044	SMP	1	14.26	14.26	202.28	695.02	Fixation
116794711066	SMP	1	14.09	14.09	204.85	695.77	Fixation
116794715038	SMP	1	14.13	14.13	202.86	696.87	Fixation
116794719096	SMP	1	14.03	14.03	200.52	698.84	Fixation
116794723049	SMP	1	14.07	14.07	202.17	698.41	Fixation
116794727066	SMP	1	14.35	14.35	201.97	697.98	Fixation
116794731041	SMP	1	14.31	14.31	205.61	698.43	Fixation
116794735029	SMP	1	14.16	14.16	206.61	698.47	Fixation
116794739049	SMP	1	14.53	14.53	208.39	698.35	Fixation
116794743057	SMP	1	14.22	14.22	208.54	698.88	Fixation
116794747031	SMP	1	13.99	13.99	210.49	698.11	Fixation
116794751038	SMP	1	14.18	14.18	212.36	697.68	Fixation
116794755065	SMP	1	14.37	14.37	212.13	697.56	Fixation
116794759052	SMP	1	14.49	14.49	215.70	697.04	Fixation
116794763026	SMP	1	14.36	14.36	217.63	695.15	Fixation
116794767017	SMP	1	14.03	14.03	222.32	693.49	Saccade
116794771031	SMP	1	14.47	14.47	220.55	693.11	Saccade
116794775063	SMP	1	14.10	14.10	223.04	693.66	Saccade
116794779069	SMP	1	14.31	14.31	242.40	690.37	Saccade
116794783032	SMP	1	14.32	14.32	301.07	681.57	Saccade
116794786992	SMP	1	14.48	14.48	344.68	670.76	Saccade
116794791047	SMP	1	14.44	14.44	477.87	614.49	Saccade
116794795023	SMP	1	14.79	14.79	490.78	561.06	Saccade
116794799018	SMP	1	14.42	14.42	569.50	532.29	Saccade
116794803011	SMP	1	14.46	14.46	631.19	511.51	Saccade
116794807043	SMP	1	14.72	14.72	656.37	504.46	Saccade
116794810902	SMP	1	14.12	14.12	751.45	500.24	Saccade
116794815020	SMP	1	14.11	14.11	751.47	489.93	Saccade
116794819013	SMP	1	14.17	14.17	789.96	498.17	Saccade
116794823051	SMP	1	14.18	14.18	829.07	491.72	Saccade
116794826921	SMP	1	14.20	14.20	847.29	499.13	Saccade
116794831048	SMP	1	14.69	14.69	823.36	494.61	Saccade
116794835021	SMP	1	14.31	14.31	830.61	493.19	Saccade
116794839025	SMP	1	14.39	14.39	856.98	492.16	Saccade
116794842924	SMP	1	14.46	14.46	842.64	491.72	Fixation
116794847077	SMP	1	14.66	14.66	831.76	489.50	Fixation
116794851056	SMP	1	14.66	14.66	831.25	488.98	Fixation
116794855041	SMP	1	14.66	14.66	830.98	486.73	Fixation
116794858888	SMP	1	14.55	14.55	833.37	487.73	Fixation
116794863020	SMP	1	14.48	14.48	830.06	484.49	Fixation
116794867028	SMP	1	14.60	14.60	826.19	481.52	Fixation
116794871071	SMP	1	14.44	14.44	826.06	479.48	Fixation
116794874904	SMP	1	14.40	14.40	826.44	476.22	Fixation
116794879046	SMP	1	14.32	14.32	827.23	473.87	Fixation
116794883051	SMP	1	14.59	14.59	824.66	471.96	Fixation
116794887048	SMP	1	14.03	14.03	823.98	471.72	Fixation
116794891028	SMP	1	14.57	14.57	823.67	471.36	Fixation
116794895022	SMP	1	14.32	14.32	824.51	469.77	Fixation
116794899028	SMP	1	14.44	14.44	821.28	468.64	Fixation
116794903065	SMP	1	14.24	14.24	817.63	467.84	Fixation
116794906890	SMP	1	14.34	14.34	819.17	467.73	Fixation
116794911094	SMP	1	13.81	13.81	819.78	469.15	Fixation
116794915067	SMP	1	14.20	14.20	816.23	467.97	Fixation
116794919057	SMP	1	14.34	14.34	809.49	467.69	Fixation
116794923029	SMP	1	14.39	14.39	804.33	468.94	Fixation
