Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L POR X [px]	L POR Y [px]	L Event Info
109899800380	SMP	1	14.80	14.80	746.69	567.73	Fixation
109899804351	SMP	1	14.69	14.69	745.36	569.87	Fixation
109899808372	SMP	1	14.42	14.42	742.59	569.03	Fixation
109899812361	SMP	1	14.70	14.70	745.62	567.82	Fixation
109899816326	SMP	1	14.50	14.50	743.56	569.37	Fixation
109899820345	SMP	1	14.47	14.47	746.06	568.98	Fixation
109899824317	SMP	1	14.53	14.53	746.05	567.53	Fixation
109899828332	SMP	1	14.78	14.78	746.24	567.26	Fixation
109899832340	SMP	1	14.43	14.43	746.50	567.75	Fixation
109899836367	SMP	1	14.49	14.49	747.09	566.98	Fixation
109899841298	SMP	1	14.76	14.76	747.51	566.67	Fixation
109899844596	SMP	1	14.83	14.83	747.28	565.70	Fixation
109899848896	SMP	1	14.80	14.80	748.96	564.82	Fixation
109899852315	SMP	1	14.71	14.71	753.27	565.22	Fixation
109899856360	SMP	1	14.53	14.53	756.07	565.12	Fixation
109899860349	SMP	1	14.68	14.68	757.45	567.00	Fixation
109899864339	SMP	1	14.70	14.70	761.66	568.31	Fixation
109899868353	SMP	1	14.71	14.71	768.67	570.12	Fixation
109899872349	SMP	1	14.52	14.52	767.62	571.65	Fixation
109899876343	SMP	1	14.70	14.70	775.62	572.06	Fixation
109899880333	SMP	1	14.69	14.69	766.36	573.88	Fixation
109899884347	SMP	1	14.76	14.76	773.37	574.86	Fixation
109899888416	SMP	1	14.74	14.74	770.38	577.68	Fixation
109899892363	SMP	1	14.68	14.68	771.94	578.93	Fixation
109899896331	SMP	1	14.64	14.64	768.46	581.30	Fixation
109899900299	SMP	1	14.81	14.81	766.51	583.03	Fixation
109899904317	SMP	1	14.76	14.76	764.80	583.43	Fixation
109899908344	SMP	1	14.75	14.75	763.32	584.81	Saccade
109899912334	SMP	1	14.78	14.78	763.05	586.39	Saccade
109899916337	SMP	1	14.76	14.76	775.30	586.25	Saccade
109899920329	SMP	1	14.79	14.79	803.43	587.10	Saccade
109899924329	SMP	1	14.69	14.69	775.33	586.65	Saccade
109899928316	SMP	1	14.75	14.75	763.22	588.02	Saccade
109899932320	SMP	1	14.69	14.69	761.19	587.07	Saccade
109899936342	SMP	1	14.71	14.71	779.95	587.89	Fixation
109899940334	SMP	1	14.69	14.69	764.79	589.07	Fixation
109899944311	SMP	1	14.76	14.76	773.38	591.16	Fixation
109899948392	SMP	1	14.73	14.73	784.09	588.69	Fixation
109899952345	SMP	1	14.65	14.65	795.52	585.42	Fixation
109899956373	SMP	1	14.68	14.68	776.73	586.45	Fixation
109899960442	SMP	1	14.70	14.70	780.02	585.96	Fixation
109899964340	SMP	1	14.65	14.65	779.35	585.47	Fixation
109899968326	SMP	1	14.62	14.62	779.60	585.41	Fixation
109899972328	SMP	1	14.70	14.70	783.01	581.54	Fixation
109899976314	SMP	1	14.75	14.75	780.82	580.63	Fixation
109899980350	SMP	1	14.75	14.75	778.46	579.86	Fixation
109899984358	SMP	1	14.74	14.74	778.45	578.97	Fixation
109899988346	SMP	1	14.55	14.55	778.93	576.93	Fixation
109899992326	SMP	1	14.52	14.52	775.15	576.07	Fixation
109899996320	SMP	1	14.28	14.28	776.44	576.33	Fixation
109900000335	SMP	1	14.61	14.61	780.11	573.84	Fixation
109900004328	SMP	1	14.63	14.63	778.80	569.20	Fixation
109900008322	SMP	1	14.23	14.23	771.68	570.76	Fixation
109900012323	SMP	1	14.34	14.34	765.86	571.33	Fixation
109900016318	SMP	1	14.62	14.62	761.34	572.72	Fixation
109900020339	SMP	1	14.21	14.21	759.61	571.21	Fixation
109900024318	SMP	1	14.64	14.64	769.97	572.99	Fixation
109900028396	SMP	1	14.62	14.62	756.62	567.86	-
109900032333	SMP	1	14.56	14.56	742.78	567.75	-
109900036324	SMP	1	14.73	14.73	735.96	569.06	-
109900040310	SMP	1	14.72	14.72	730.56	568.85	-
109900044341	SMP	1	15.15	15.15	727.18	576.97	-
109900048328	SMP	1	15.09	15.09	786.01	577.35	-
109900052333	SMP	1	14.83	14.83	810.04	580.25	-
109900056370	SMP	1	15.33	15.33	757.90	537.73	-
109900060334	SMP	1	13.93	13.93	721.66	574.12	-
109900064335	SMP	1	15.85	15.85	815.19	599.95	-
109900068326	SMP	1	15.26	15.26	709.63	570.45	-
109900072320	SMP	1	15.35	15.35	819.79	645.87	-
109900076317	SMP	1	14.88	14.88	751.11	848.76	-
109900080316	SMP	1	14.13	14.13	730.34	835.91	-
109900084404	SMP	1	14.00	14.00	832.82	836.71	-
109900088349	SMP	1	11.94	11.94	0.00	0.00	-
109900092332	SMP	1	16.49	16.49	0.00	0.00	-
109900096321	SMP	1	16.02	16.02	0.00	0.00	-
109900100323	SMP	1	9.08	9.08	0.00	0.00	Blink
109900104331	SMP	1	14.77	14.77	0.00	0.00	Blink
109900108345	SMP	1	18.29	18.29	0.00	0.00	Blink
109900112331	SMP	1	16.57	16.57	0.00	0.00	Blink
109900116319	SMP	1	7.16	7.16	0.00	0.00	Blink
109900120384	SMP	1	8.24	8.24	0.00	0.00	Blink
109900124333	SMP	1	11.35	11.35	0.00	0.00	Blink
109900128333	SMP	1	11.79	11.79	0.00	0.00	Blink
