Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L POR X [px]	L POR Y [px]	L Event Info
89211604598	SMP	1	12.50	12.50	781.45	441.40	Fixation
89211608457	SMP	1	12.39	12.39	779.19	439.17	Fixation
89211612592	SMP	1	12.45	12.45	778.08	437.71	Fixation
89211616571	SMP	1	12.51	12.51	778.40	437.39	Fixation
89211620565	SMP	1	12.52	12.52	778.60	434.89	Fixation
89211624437	SMP	1	12.52	12.52	778.75	433.27	Fixation
89211628574	SMP	1	12.57	12.57	778.54	432.70	Fixation
89211632559	SMP	1	12.52	12.52	778.63	430.73	Fixation
89211636505	SMP	1	12.53	12.53	779.56	430.30	Fixation
89211640456	SMP	1	12.53	12.53	778.55	429.02	Fixation
89211644782	SMP	1	12.53	12.53	779.37	428.36	Fixation
89211648589	SMP	1	12.44	12.44	779.28	427.25	Fixation
89211653263	SMP	1	12.47	12.47	780.28	427.24	Fixation
89211656670	SMP	1	12.51	12.51	782.57	426.95	Fixation
89211660453	SMP	1	12.45	12.45	782.87	425.42	Fixation
89211664560	SMP	1	12.45	12.45	783.56	423.67	Fixation
89211668570	SMP	1	12.49	12.49	784.94	424.41	Fixation
89211672424	SMP	1	12.55	12.55	787.18	423.10	Fixation
89211676588	SMP	1	12.56	12.56	790.55	424.83	Fixation
89211680576	SMP	1	12.42	12.42	792.15	424.96	Fixation
89211684579	SMP	1	12.48	12.48	791.08	425.24	Fixation
89211688572	SMP	1	12.52	12.52	792.23	424.95	Fixation
89211692582	SMP	1	12.66	12.66	794.01	426.13	Fixation
89211696581	SMP	1	12.49	12.49	795.15	425.65	Fixation
89211700567	SMP	1	12.54	12.54	796.11	425.80	Fixation
89211704482	SMP	1	12.53	12.53	795.40	427.76	Fixation
89211708572	SMP	1	12.59	12.59	794.66	430.56	Fixation
89211712556	SMP	1	12.44	12.44	794.39	431.08	Fixation
89211716558	SMP	1	12.47	12.47	793.86	432.07	Fixation
89211720429	SMP	1	12.44	12.44	791.26	432.51	Fixation
89211724559	SMP	1	12.48	12.48	791.30	432.51	Fixation
89211728552	SMP	1	12.40	12.40	790.86	432.91	Fixation
89211732550	SMP	1	12.45	12.45	789.37	434.22	Fixation
