Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L POR X [px]	L POR Y [px]	L Event Info
166976446403	SMP	1	14.86	14.86	1351.09	474.93	Fixation
166976450361	SMP	1	14.89	14.89	1351.58	475.21	Fixation
166976454374	SMP	1	14.96	14.96	1351.67	476.12	Fixation
166976458341	SMP	1	14.99	14.99	1352.20	478.04	Fixation
166976462377	SMP	1	14.87	14.87	1353.81	475.59	Fixation
166976466790	SMP	1	14.84	14.84	1356.36	472.45	Fixation
166976470685	SMP	1	14.80	14.80	1357.30	466.65	Fixation
166976474465	SMP	1	14.87	14.87	1359.03	465.23	Fixation
166976478346	SMP	1	14.87	14.87	1359.10	465.61	Fixation
166976482343	SMP	1	14.84	14.84	1359.40	465.37	Fixation
166976486374	SMP	1	14.84	14.84	1359.64	462.42	Fixation
166976490348	SMP	1	14.80	14.80	1359.24	463.08	Fixation
166976494587	SMP	1	14.80	14.80	1359.39	456.53	Fixation
166976498372	SMP	1	14.93	14.93	1359.10	457.39	Fixation
166976502381	SMP	1	14.92	14.92	1358.44	455.47	Fixation
166976506386	SMP	1	14.85	14.85	1356.16	456.52	Fixation
166976510428	SMP	1	14.72	14.72	1352.87	456.20	Fixation
166976514378	SMP	1	14.79	14.79	1350.22	460.07	Fixation
166976518394	SMP	1	14.83	14.83	1350.89	462.55	Fixation
166976522368	SMP	1	14.91	14.91	1350.65	464.48	Fixation
166976526336	SMP	1	14.79	14.79	1347.69	464.87	Fixation
166976530335	SMP	1	14.78	14.78	1347.89	467.13	Saccade
166976534364	SMP	1	14.78	14.78	1347.68	470.45	Saccade
166976538419	SMP	1	14.83	14.83	1345.32	477.88	Saccade
166976542345	SMP	1	14.85	14.85	1346.53	493.43	Saccade
166976546333	SMP	1	14.83	14.83	1350.49	504.91	Saccade
166976550353	SMP	1	14.74	14.74	1361.24	522.08	Saccade
166976554338	SMP	1	14.73	14.73	1370.21	529.80	Saccade
166976558326	SMP	1	14.76	14.76	1367.10	525.43	Saccade
166976562357	SMP	1	14.51	14.51	1370.41	531.09	Fixation
166976566345	SMP	1	14.77	14.77	1371.59	523.31	Fixation
166976570329	SMP	1	14.74	14.74	1372.69	516.93	Fixation
166976574324	SMP	1	14.84	14.84	1372.20	519.24	Fixation
166976578353	SMP	1	14.82	14.82	1375.15	525.60	Fixation
166976582370	SMP	1	14.90	14.90	1375.58	527.25	Fixation
166976586346	SMP	1	14.81	14.81	1376.61	523.47	Fixation
166976590328	SMP	1	14.81	14.81	1376.79	520.90	Fixation
166976594328	SMP	1	14.70	14.70	1376.07	519.46	Fixation
166976598328	SMP	1	14.72	14.72	1375.62	516.53	Fixation
166976602390	SMP	1	14.83	14.83	1374.66	515.96	Fixation
166976606350	SMP	1	14.76	14.76	1373.49	514.37	Fixation
166976610347	SMP	1	14.76	14.76	1374.02	515.60	Fixation
166976614352	SMP	1	14.71	14.71	1374.05	518.85	Fixation
166976618367	SMP	1	14.79	14.79	1373.76	521.49	Fixation
166976622326	SMP	1	14.68	14.68	1373.10	523.43	Fixation
166976626352	SMP	1	14.64	14.64	1373.12	519.62	Fixation
166976630361	SMP	1	14.65	14.65	1372.34	521.08	Fixation
166976634334	SMP	1	14.85	14.85	1371.82	522.41	Fixation
166976638322	SMP	1	14.91	14.91	1371.42	521.52	Fixation
166976642321	SMP	1	14.89	14.89	1370.44	520.12	Fixation
166976646323	SMP	1	14.92	14.92	1370.85	518.15	Fixation
166976650335	SMP	1	14.86	14.86	1371.01	517.07	Fixation
166976654340	SMP	1	14.92	14.92	1369.98	510.73	Fixation
166976658364	SMP	1	14.88	14.88	1369.02	510.41	Fixation
166976662345	SMP	1	14.90	14.90	1368.00	510.73	Saccade
166976666320	SMP	1	14.89	14.89	1367.98	519.97	Saccade
166976670324	SMP	1	14.94	14.94	1359.70	511.58	Saccade
166976674334	SMP	1	14.95	14.95	1256.94	512.47	Saccade
166976678352	SMP	1	15.29	15.29	1221.14	523.43	Saccade
166976682324	SMP	1	15.17	15.17	1155.39	526.46	Saccade
166976686348	SMP	1	15.54	15.54	1097.12	535.16	Saccade
166976690335	SMP	1	15.46	15.46	1057.17	526.33	Saccade
166976694354	SMP	1	15.42	15.42	989.06	528.22	Saccade
166976698322	SMP	1	14.97	14.97	970.61	525.23	Saccade
166976702327	SMP	1	15.00	15.00	962.51	521.23	Saccade
166976706323	SMP	1	15.20	15.20	973.18	530.72	Fixation
166976710323	SMP	1	15.18	15.18	977.74	521.69	Fixation
166976714350	SMP	1	15.26	15.26	978.44	517.68	Fixation
166976718387	SMP	1	15.26	15.26	979.24	518.01	Fixation
166976722358	SMP	1	15.08	15.08	974.17	515.65	Fixation
166976726336	SMP	1	15.30	15.30	974.92	511.94	Fixation
166976730313	SMP	1	15.34	15.34	974.36	513.43	Fixation
166976734331	SMP	1	14.97	14.97	974.23	512.17	Fixation
166976738340	SMP	1	15.07	15.07	975.65	510.92	Fixation
166976742326	SMP	1	15.10	15.10	976.31	510.18	Fixation
166976746344	SMP	1	15.31	15.31	974.39	513.00	Fixation
166976750319	SMP	1	15.41	15.41	972.08	512.33	Fixation
166976754331	SMP	1	15.24	15.24	969.25	513.05	Fixation
166976758343	SMP	1	15.10	15.10	966.22	514.27	Fixation
166976762315	SMP	1	15.17	15.17	965.11	516.07	Fixation
166976766323	SMP	1	15.16	15.16	964.60	516.43	Fixation
166976770324	SMP	1	15.28	15.28	964.95	518.99	Fixation
166976774314	SMP	1	15.42	15.42	965.95	519.63	Fixation
166976778809	SMP	1	15.49	15.49	966.59	520.47	Fixation
166976782337	SMP	1	15.16	15.16	964.81	521.82	Fixation
166976786333	SMP	1	15.48	15.48	966.12	524.29	Fixation
166976790369	SMP	1	15.52	15.52	968.28	525.13	Fixation
166976794333	SMP	1	15.45	15.45	969.84	525.24	Fixation
166976798342	SMP	1	15.01	15.01	971.35	525.79	Fixation
166976802338	SMP	1	15.44	15.44	973.17	527.32	Fixation
166976806318	SMP	1	15.24	15.24	975.48	529.87	Fixation
166976810320	SMP	1	15.35	15.35	976.67	530.51	Fixation
166976814330	SMP	1	15.46	15.46	977.71	531.87	Fixation
166976818369	SMP	1	15.19	15.19	977.91	533.65	Fixation
166976822337	SMP	1	15.14	15.14	977.69	534.23	Fixation
166976826310	SMP	1	15.15	15.15	977.93	536.74	Fixation
166976830310	SMP	1	15.08	15.08	976.79	537.34	Fixation
166976834324	SMP	1	15.01	15.01	975.25	537.87	Fixation
166976838315	SMP	1	14.92	14.92	974.17	538.27	Fixation
